Period;Trade Flow;Reporter;Partner;2nd Partner;Customs Desc;Transport Mode;Commodity Code;Trade Value (US$);Net Weight(kg);Gross Weight;Qty Unit;Qty;Alternate Quantity unit;Alternate Quantity
Filter by Period;Filter by Trade Flow;Filter by Reporter;Filter by Partner;Filter by 2nd Partner;Filter by Customs Desc;Filter by Transport Mode;Filter by Commodity Code;Filter by Trade Value (US$);Filter by Net Weight(kg);Filter by Gross Weight;Filter by Qty Unit;Filter by Qty;Filter by Alternate Quantity unit;Filter by Alternate Quantity
2012;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$3,754,272;4384767;;kg;4384767;kg;4382415
2012;M;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$35,329;16000;;kg;16000;kg;16000
2012;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$196,781;57923;;kg;57923;kg;57923
2012;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$3,140,214;3996750;;kg;3996750;kg;3996750
2012;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$150,814;240000;;kg;240000;kg;240000
2012;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$90,863;9024;;kg;9024;kg;9024
2012;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$21,852;9737;;kg;9737;kg;8500
2012;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$3,353;1196;;kg;1196;kg;82
2012;M;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$271;59;;kg;59;kg;59
2012;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$95,315;49630;;kg;49630;kg;49630
2012;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$19,475;4446;;kg;4446;kg;4446
2012;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$85,362,829;65532388;;kg;65532388;kg;65530156
2012;X;Chile;Bolivia (Plurinational State of);World;TOTAL CPC;TOTAL MOT;121229;$504;387;;kg;387;kg;
2012;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$4,139,647;1318716;;kg;1318716;kg;1318716
2012;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$48,962,044;45314616;;kg;45314616;kg;45314616
2012;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$3,291,661;1272159;;kg;1272159;kg;1272159
2012;X;Chile;Ecuador;World;TOTAL CPC;TOTAL MOT;121229;$2,500;1000;;kg;1000;kg;1000
2012;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$9,040,679;4042700;;kg;4042700;kg;4042700
2012;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$201,552;101600;;kg;101600;kg;101600
2012;X;Chile;China, Hong Kong SAR;World;TOTAL CPC;TOTAL MOT;121229;$30,223;6555;;kg;6555;kg;6555
2012;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$8,257,358;7577138;;kg;7577138;kg;7577138
2012;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$743,367;385534;;kg;385534;kg;385534
2012;X;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$46,764;8660;;kg;8660;kg;8660
2012;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$534,135;140681;;kg;140681;kg;140681
2012;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$4,584,709;3689672;;kg;3689672;kg;3689672
2012;X;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$2,579;750;;kg;750;kg;750
2012;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$425,797;135788;;kg;135788;kg;135788
2012;X;Chile;Portugal;World;TOTAL CPC;TOTAL MOT;121229;$27,129;18710;;kg;18710;kg;18710
2012;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$2,317,085;709283;;kg;709283;kg;709283
2012;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$153,087;81017;;kg;81017;kg;81017
2012;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$2,599,599;725577;;kg;725577;kg;725577
2012;X;Chile;Areas, nes;World;TOTAL CPC;TOTAL MOT;121229;$2,402;1844;;kg;1844;kg;
2013;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$3,818,488;3455716;;kg;3455716;kg;3455716
2013;M;Chile;Australia;World;TOTAL CPC;TOTAL MOT;121229;$11,673;15;;kg;15;kg;15
2013;M;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$38,172;16000;;kg;16000;kg;16000
2013;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$248,299;19215;;kg;19215;kg;19215
2013;M;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$2,913;601;;kg;601;kg;601
2013;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$2,275,165;2200000;;kg;2200000;kg;2200000
2013;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$703,859;920000;;kg;920000;kg;920000
2013;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;11229;$140,526;10302;;kg;10302;kg;10302
2013;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$21,697;9000;;kg;9000;kg;9000
2013;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$112;7;;kg;7;kg;7
2013;M;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$120,093;137500;;kg;137500;kg;137500
2013;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$188,724;62415;;kg;62415;kg;62415
2013;M;Chile;United Kingdom;World;TOTAL CPC;TOTAL MOT;121229;$57,888;80000;;kg;80000;kg;80000
2013;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$8,457;584;;kg;584;kg;584
2013;M;Chile;Areas, nes;World;TOTAL CPC;TOTAL MOT;121229;$905;75;;kg;75;kg;75
2013;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$129,257,942;76424834;;kg;76424834;kg;76424834
2013;X;Chile;Brazil;World;TOTAL CPC;TOTAL MOT;121229;$14,275;800;;kg;800;kg;800
2013;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$8,093,428;1695425;;kg;1695425;kg;1695425
2013;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$89,116,008;59966302;;kg;59966302;kg;59966302
2013;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$4,596,740;1268316;;kg;1268316;kg;1268316
2013;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$7,707,483;2904124;;kg;2904124;kg;2904124
2013;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$23,725;7000;;kg;7000;kg;7000
2013;X;Chile;China, Hong Kong SAR;World;TOTAL CPC;TOTAL MOT;121229;$1,093;355;;kg;355;kg;355
2013;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$9,972,908;6615730;;kg;6615730;kg;6615730
2013;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$596,134;183676;;kg;183676;kg;183676
2013;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$550,465;147295;;kg;147295;kg;147295
2013;X;Chile;New Zealand;World;TOTAL CPC;TOTAL MOT;121229;$2,184;500;;kg;500;kg;500
2013;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$3,725,732;2406189;;kg;2406189;kg;2406189
2013;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$314,144;86036;;kg;86036;kg;86036
2013;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$18,510;8025;;kg;8025;kg;8025
2013;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$1,990,969;573023;;kg;573023;kg;573023
2013;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$47,540;25000;;kg;25000;kg;25000
2013;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$2,486,597;537038;;kg;537038;kg;537038
2014;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$7,983,750;5815484;;kg;5815484;kg;5815484
2014;M;Chile;Australia;World;TOTAL CPC;TOTAL MOT;121229;$13,613;19;;kg;19;kg;19
2014;M;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$129,296;70800;;kg;70800;kg;70800
2014;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$435,612;24147;;kg;24147;kg;24147
2014;M;Chile;Ecuador;World;TOTAL CPC;TOTAL MOT;121229;$278;2;;kg;2;kg;2
2014;M;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$17,000;24720;;kg;24720;kg;24720
2014;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$6,302,455;4678625;;kg;4678625;kg;4678625
2014;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$474,214;689231;;kg;689231;kg;689231
2014;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$66,618;4108;;kg;4108;kg;4108
2014;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$45,089;17692;;kg;17692;kg;17692
2014;M;Chile;Morocco;World;TOTAL CPC;TOTAL MOT;121229;$145,496;46780;;kg;46780;kg;46780
2014;M;Chile;Netherlands;World;TOTAL CPC;TOTAL MOT;121229;$103,148;160000;;kg;160000;kg;160000
2014;M;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$91;1;;kg;1;kg;1
2014;M;Chile;India;World;TOTAL CPC;TOTAL MOT;121229;$62,444;10128;;kg;10128;kg;10128
2014;M;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$21,433;22000;;kg;22000;kg;22000
2014;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$150,878;66260;;kg;66260;kg;66260
2014;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$13,100;803;;kg;803;kg;803
2014;M;Chile;Areas, nes;World;TOTAL CPC;TOTAL MOT;121229;$2,980;165;;kg;165;kg;165
2014;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$134,187,802;71350411;;kg;71350411;kg;71350411
2014;X;Chile;Australia;World;TOTAL CPC;TOTAL MOT;121229;$4,800;10000;;kg;10000;kg;10000
2014;X;Chile;Brazil;World;TOTAL CPC;TOTAL MOT;121229;$9,037;1027;;kg;1027;kg;1027
2014;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$10,725,964;2194567;;kg;2194567;kg;2194567
2014;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$76,857,173;49624778;;kg;49624778;kg;49624778
2014;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$6,387,500;1781546;;kg;1781546;kg;1781546
2014;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$11,705,093;4186526;;kg;4186526;kg;4186526
2014;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$69,784;44000;;kg;44000;kg;44000
2014;X;Chile;China, Hong Kong SAR;World;TOTAL CPC;TOTAL MOT;121229;$60,846;27508;;kg;27508;kg;27508
2014;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$12,929,249;7749306;;kg;7749306;kg;7749306
2014;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$1,922,433;483065;;kg;483065;kg;483065
2014;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,911,357;460033;;kg;460033;kg;460033
2014;X;Chile;Morocco;World;TOTAL CPC;TOTAL MOT;121229;$134,138;55891;;kg;55891;kg;55891
2014;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$6,019,235;3504253;;kg;3504253;kg;3504253
2014;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$840,839;184831;;kg;184831;kg;184831
2014;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$3,476,612;779614;;kg;779614;kg;779614
2014;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$128,565;54063;;kg;54063;kg;54063
2014;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$1,005,171;209403;;kg;209403;kg;209403
2015;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$7,096,184;6968233;;kg;6968233;kg;6968233
2015;M;Chile;Australia;World;TOTAL CPC;TOTAL MOT;121229;$4,705;6;;kg;6;kg;6
2015;M;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$59,317;32000;;kg;32000;kg;32000
2015;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$382,186;74466;;kg;74466;kg;74466
2015;M;Chile;Colombia;World;TOTAL CPC;TOTAL MOT;121229;$40;0;;kg;0;kg;0
2015;M;Chile;Ecuador;World;TOTAL CPC;TOTAL MOT;121229;$4,277;150;;kg;150;kg;150
2015;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$5,726,058;5810054;;kg;5810054;kg;5810054
2015;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$640,493;881539;;kg;881539;kg;881539
2015;M;Chile;Italy;World;TOTAL CPC;TOTAL MOT;121229;$137;3;;kg;3;kg;3
2015;M;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$9,981;4206;;kg;4206;kg;4206
2015;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$20,600;10000;;kg;10000;kg;10000
2015;M;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$366;15;;kg;15;kg;15
2015;M;Chile;Morocco;World;TOTAL CPC;TOTAL MOT;121229;$86,375;25000;;kg;25000;kg;25000
2015;M;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$74;2;;kg;2;kg;2
2015;M;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$30,423;34650;;kg;34650;kg;34650
2015;M;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$23,117;24000;;kg;24000;kg;24000
2015;M;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$93,009;71040;;kg;71040;kg;71040
2015;M;Chile;United Arab Emirates;World;TOTAL CPC;TOTAL MOT;121229;$78;0;;kg;0;kg;0
2015;M;Chile;United Kingdom;World;TOTAL CPC;TOTAL MOT;121229;$17;11;;kg;11;kg;11
2015;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$14,922;1086;;kg;1086;kg;1086
2015;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$96,461,402;66891099;;kg;66891099;kg;66891099
2015;X;Chile;Australia;World;TOTAL CPC;TOTAL MOT;121229;$48,300;88400;;kg;88400;kg;88400
2015;X;Chile;Brazil;World;TOTAL CPC;TOTAL MOT;121229;$4,077;2590;;kg;2590;kg;2590
2015;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$4,713,590;1211772;;kg;1211772;kg;1211772
2015;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$51,642,258;45324996;;kg;45324996;kg;45324996
2015;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$5,805,457;1815745;;kg;1815745;kg;1815745
2015;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$11,728,704;5692245;;kg;5692245;kg;5692245
2015;X;Chile;China, Hong Kong SAR;World;TOTAL CPC;TOTAL MOT;121229;$73,865;53000;;kg;53000;kg;53000
2015;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$6,550,601;5288016;;kg;5288016;kg;5288016
2015;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$854,871;278322;;kg;278322;kg;278322
2015;X;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$42,300;18000;;kg;18000;kg;18000
2015;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,418,515;336801;;kg;336801;kg;336801
2015;X;Chile;New Zealand;World;TOTAL CPC;TOTAL MOT;121229;$1,737;72;;kg;72;kg;72
2015;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$9,721,682;5730630;;kg;5730630;kg;5730630
2015;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$612,160;154650;;kg;154650;kg;154650
2015;X;Chile;Viet Nam;World;TOTAL CPC;TOTAL MOT;121229;$42,329;7500;;kg;7500;kg;7500
2015;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$2,276,709;582187;;kg;582187;kg;582187
2015;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$383,212;157973;;kg;157973;kg;157973
2015;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$541,030;148200;;kg;148200;kg;148200
2016;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$4,493,180;5247535;;kg;5247535;kg;5247535
2016;M;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$32,862;16000;;kg;16000;kg;16000
2016;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$491,177;74870;;kg;74870;kg;74870
2016;M;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$29;0;;kg;0;kg;0
2016;M;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$13,769;25000;;kg;25000;kg;25000
