Period;Trade Flow;Reporter;Partner;2nd Partner;Customs Desc;Transport Mode;Commodity Code;Trade Value (US$);Net Weight(kg);Gross Weight;Qty Unit;Qty;Alternate Quantity unit;Alternate Quantity
Filter by Period;Filter by Trade Flow;Filter by Reporter;Filter by Partner;Filter by 2nd Partner;Filter by Customs Desc;Filter by Transport Mode;Filter by Commodity Code;Filter by Trade Value (US$);Filter by Net Weight(kg);Filter by Gross Weight;Filter by Qty Unit;Filter by Qty;Filter by Alternate Quantity unit;Filter by Alternate Quantity
2012;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$48,962,044;45314616;;kg;45314616;kg;45314616
2012;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$196,781;57923;;kg;57923;kg;57923
2013;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$248,299;19215;;kg;19215;kg;19215
2013;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$89,116,008;59966302;;kg;59966302;kg;59966302
2014;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$435,612;24147;;kg;24147;kg;24147
2014;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$76,857,173;49624778;;kg;49624778;kg;49624778
2015;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$382,186;74466;;kg;74466;kg;74466
2015;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$51,642,258;45324996;;kg;45324996;kg;45324996
2016;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$491,177;74870;;kg;74870;kg;74870
2016;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$71,518,616;59596884;;kg;59596884;kg;59596884
2017;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$362,839;111823;;kg;111823;kg;111823
2017;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$93,136,719;63368374;;kg;63368374;kg;63368374
2018;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$139,840;56271;;kg;56271;kg;56271
2018;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$65,270,793;42033349;;kg;42033349;kg;42033349
2019;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$515,572;77939;;kg;77939;kg;77939
2019;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$56,508,218;46170954;;kg;46170954;kg;46170954
2020;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$1,942,196;274548;;kg;274548;kg;274548
2020;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$60,550,646;53709132;;kg;53709132;kg;53709132
2021;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$2,042,497;458782;;kg;458782;kg;458782
2021;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$77,967,692;54082973;;kg;54082973;kg;54082973
2022;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$1,425,694;351478;;kg;351478;kg;351478
2022;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$130,841,345;55528875;;kg;55528875;kg;55528875

