Period;Trade Flow;Reporter;Partner;2nd Partner;Customs Desc;Transport Mode;Commodity Code;Trade Value (US$);Net Weight(kg);Gross Weight;Qty Unit;Qty;Alternate Quantity unit;Alternate Quantity
Filter by Period;Filter by Trade Flow;Filter by Reporter;Filter by Partner;Filter by 2nd Partner;Filter by Customs Desc;Filter by Transport Mode;Filter by Commodity Code;Filter by Trade Value (US$);Filter by Net Weight(kg);Filter by Gross Weight;Filter by Qty Unit;Filter by Qty;Filter by Alternate Quantity unit;Filter by Alternate Quantity
2012;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$8,257,358;7577138;;kg;7577138;kg;7577138
2013;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$9,972,908;6615730;;kg;6615730;kg;6615730
2014;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$12,929,249;7749306;;kg;7749306;kg;7749306
2015;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$6,550,601;5288016;;kg;5288016;kg;5288016
2016;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$5,789,250;4211378;;kg;4211378;kg;4211378
2017;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$8,652,244;5091540;;kg;5091540;kg;5091540
2018;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$6,981,928;4437185;;kg;4437185;kg;4437185
2019;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$6,088,895;4236569;;kg;4236569;kg;4236569
2020;M;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$3,194;678;;kg;678;kg;678
2020;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$4,516,219;3551802;;kg;3551802;kg;3551802
2021;M;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$4,522;308;;kg;308;kg;308
2021;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$3,813,149;2718040;;kg;2718040;kg;2718040
2022;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$7,415,964;3211096;;kg;3211096;kg;3211096

