Period;Trade Flow;Reporter;Partner;2nd Partner;Customs Desc;Transport Mode;Commodity Code;Trade Value (US$);Net Weight(kg);Gross Weight;Qty Unit;Qty;Alternate Quantity unit;Alternate Quantity
Filter by Period;Filter by Trade Flow;Filter by Reporter;Filter by Partner;Filter by 2nd Partner;Filter by Customs Desc;Filter by Transport Mode;Filter by Commodity Code;Filter by Trade Value (US$);Filter by Net Weight(kg);Filter by Gross Weight;Filter by Qty Unit;Filter by Qty;Filter by Alternate Quantity unit;Filter by Alternate Quantity
2012;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$19,475;4446;;kg;4446;kg;4446
2012;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$2,599,599;725577;;kg;725577;kg;725577
2013;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$8,457;584;;kg;584;kg;584
2013;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$2,486,597;537038;;kg;537038;kg;537038
2014;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$13,100;803;;kg;803;kg;803
2014;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$1,005,171;209403;;kg;209403;kg;209403
2015;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$14,922;1086;;kg;1086;kg;1086
2015;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$541,030;148200;;kg;148200;kg;148200
2016;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$6,873;111;;kg;111;kg;111
2016;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$325,416;108075;;kg;108075;kg;108075
2017;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$9,129;264;;kg;264;kg;264
2017;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$575,157;276134;;kg;276134;kg;276134
2018;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$564,937;154872;;kg;154872;kg;154872
2018;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$486,813;193725;;kg;193725;kg;193725
2019;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$536,856;185266;;kg;185266;kg;185266
2019;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$663,482;264800;;kg;264800;kg;264800
2020;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$257,692;54271;;kg;54271;kg;54271
2020;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$770,152;388341;;kg;388341;kg;388341
2021;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$120,406;31120;;kg;31120;kg;31120
2021;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$1,652,601;251451;;kg;251451;kg;251451
2022;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$464,677;8338;;kg;8338;kg;8338
2022;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$3,517,833;308496;;kg;308496;kg;308496

